"행정구역별(시군구)","직업별","항목","단위","2015 년",
"종로구","4. 서비스 종사자","취업인구-현거주지","","8377",
"종로구","4. 서비스 종사자","취업인구-근무지","","27722",
"종로구","4. 서비스 종사자","남-현거주지","","3681",
"종로구","4. 서비스 종사자","남-근무지","","13817",
"종로구","4. 서비스 종사자","여-현거주지","","4696",
"종로구","4. 서비스 종사자","여-근무지","","13905",
"종로구","5. 판매 종사자","취업인구-현거주지","","11196",
"종로구","5. 판매 종사자","취업인구-근무지","","47879",
"종로구","5. 판매 종사자","남-현거주지","","6052",
"종로구","5. 판매 종사자","남-근무지","","27169",
"종로구","5. 판매 종사자","여-현거주지","","5144",
"종로구","5. 판매 종사자","여-근무지","","20710",
"종로구","6. 농림어업 숙련 종사자","취업인구-현거주지","","98",
"종로구","6. 농림어업 숙련 종사자","취업인구-근무지","","184",
"종로구","6. 농림어업 숙련 종사자","남-현거주지","","79",
"종로구","6. 농림어업 숙련 종사자","남-근무지","","150",
"종로구","6. 농림어업 숙련 종사자","여-현거주지","","19",
"종로구","6. 농림어업 숙련 종사자","여-근무지","","34",
"종로구","7. 기능원 및 관련 기능 종사자","취업인구-현거주지","","7882",
"종로구","7. 기능원 및 관련 기능 종사자","취업인구-근무지","","22277",
"종로구","7. 기능원 및 관련 기능 종사자","남-현거주지","","5037",
"종로구","7. 기능원 및 관련 기능 종사자","남-근무지","","15646",
"종로구","7. 기능원 및 관련 기능 종사자","여-현거주지","","2845",
"종로구","7. 기능원 및 관련 기능 종사자","여-근무지","","6631",
"종로구","8. 장치, 기계조작 및 조립 종사자","취업인구-현거주지","","2536",
"종로구","8. 장치, 기계조작 및 조립 종사자","취업인구-근무지","","9721",
"종로구","8. 장치, 기계조작 및 조립 종사자","남-현거주지","","2206",
"종로구","8. 장치, 기계조작 및 조립 종사자","남-근무지","","8538",
"종로구","8. 장치, 기계조작 및 조립 종사자","여-현거주지","","330",
"종로구","8. 장치, 기계조작 및 조립 종사자","여-근무지","","1183",
"종로구","9. 단순 노무 종사자","취업인구-현거주지","","6978",
"종로구","9. 단순 노무 종사자","취업인구-근무지","","18103",
"종로구","9. 단순 노무 종사자","남-현거주지","","4066",
"종로구","9. 단순 노무 종사자","남-근무지","","9986",
"종로구","9. 단순 노무 종사자","여-현거주지","","2912",
"종로구","9. 단순 노무 종사자","여-근무지","","8117",
"종로구","A. 기타","취업인구-현거주지","","310",
"종로구","A. 기타","취업인구-근무지","","371",
"종로구","A. 기타","남-현거주지","","309",
"종로구","A. 기타","남-근무지","","355",
"종로구","A. 기타","여-현거주지","","1",
"종로구","A. 기타","여-근무지","","16",
"중구","계","취업인구-현거주지","","59861",
"중구","계","취업인구-근무지","","367256",
"중구","계","남-현거주지","","33744",
"중구","계","남-근무지","","210104",
"중구","계","여-현거주지","","26117",
"중구","계","여-근무지","","157152",
"중구","1. 관리자","취업인구-현거주지","","1163",
"중구","1. 관리자","취업인구-근무지","","9807",
"중구","1. 관리자","남-현거주지","","866",
"중구","1. 관리자","남-근무지","","7873",
"중구","1. 관리자","여-현거주지","","297",
"중구","1. 관리자","여-근무지","","1934",
"중구","2. 전문가 및 관련 종사자","취업인구-현거주지","","13541",
"중구","2. 전문가 및 관련 종사자","취업인구-근무지","","77530",
"중구","2. 전문가 및 관련 종사자","남-현거주지","","7128",
"중구","2. 전문가 및 관련 종사자","남-근무지","","45500",
"중구","2. 전문가 및 관련 종사자","여-현거주지","","6413",
"중구","2. 전문가 및 관련 종사자","여-근무지","","32030",
"중구","3. 사무 종사자","취업인구-현거주지","","10866",
"중구","3. 사무 종사자","취업인구-근무지","","112527",
"중구","3. 사무 종사자","남-현거주지","","5678",
"중구","3. 사무 종사자","남-근무지","","60290",
"중구","3. 사무 종사자","여-현거주지","","5188",
"중구","3. 사무 종사자","여-근무지","","52237",
"중구","4. 서비스 종사자","취업인구-현거주지","","6639",
"중구","4. 서비스 종사자","취업인구-근무지","","28897",
"중구","4. 서비스 종사자","남-현거주지","","2968",
"중구","4. 서비스 종사자","남-근무지","","14330",
"중구","4. 서비스 종사자","여-현거주지","","3671",
"중구","4. 서비스 종사자","여-근무지","","14567",
"중구","5. 판매 종사자","취업인구-현거주지","","11824",
"중구","5. 판매 종사자","취업인구-근무지","","75949",
"중구","5. 판매 종사자","남-현거주지","","6535",
"중구","5. 판매 종사자","남-근무지","","37721",
"중구","5. 판매 종사자","여-현거주지","","5289",
"중구","5. 판매 종사자","여-근무지","","38228",
"중구","6. 농림어업 숙련 종사자","취업인구-현거주지","","38",
"중구","6. 농림어업 숙련 종사자","취업인구-근무지","","145",
"중구","6. 농림어업 숙련 종사자","남-현거주지","","18",
"중구","6. 농림어업 숙련 종사자","남-근무지","","107",
"중구","6. 농림어업 숙련 종사자","여-현거주지","","20",
"중구","6. 농림어업 숙련 종사자","여-근무지","","38",
"중구","7. 기능원 및 관련 기능 종사자","취업인구-현거주지","","6206",
"중구","7. 기능원 및 관련 기능 종사자","취업인구-근무지","","20346",
"중구","7. 기능원 및 관련 기능 종사자","남-현거주지","","4077",
"중구","7. 기능원 및 관련 기능 종사자","남-근무지","","14043",
