"행정구역별","연령별","항목","단위","2010 년",
"종로구","65~69세","내국인-이혼","","369",
"종로구","65~69세","남자(15세이상)-계","","3166",
"종로구","65~69세","남자-미혼","","81",
"종로구","65~69세","남자-배우자있음","","2701",
"종로구","65~69세","남자-사별","","190",
"종로구","65~69세","남자-이혼","","194",
"종로구","65~69세","여자(15세이상)-계","","3773",
"종로구","65~69세","여자-미혼","","84",
"종로구","65~69세","여자-배우자있음","","2311",
"종로구","65~69세","여자-사별","","1203",
"종로구","65~69세","여자-이혼","","175",
"종로구","70~74세","내국인(15세이상)-계","","5487",
"종로구","70~74세","내국인-미혼","","87",
"종로구","70~74세","내국인-배우자있음","","3606",
"종로구","70~74세","내국인-사별","","1621",
"종로구","70~74세","내국인-이혼","","173",
"종로구","70~74세","남자(15세이상)-계","","2451",
"종로구","70~74세","남자-미혼","","39",
"종로구","70~74세","남자-배우자있음","","2101",
"종로구","70~74세","남자-사별","","217",
"종로구","70~74세","남자-이혼","","94",
"종로구","70~74세","여자(15세이상)-계","","3036",
"종로구","70~74세","여자-미혼","","48",
"종로구","70~74세","여자-배우자있음","","1505",
"종로구","70~74세","여자-사별","","1404",
"종로구","70~74세","여자-이혼","","79",
"종로구","75~79세","내국인(15세이상)-계","","3509",
"종로구","75~79세","내국인-미혼","","58",
"종로구","75~79세","내국인-배우자있음","","1849",
"종로구","75~79세","내국인-사별","","1513",
"종로구","75~79세","내국인-이혼","","89",
"종로구","75~79세","남자(15세이상)-계","","1449",
"종로구","75~79세","남자-미혼","","22",
"종로구","75~79세","남자-배우자있음","","1204",
"종로구","75~79세","남자-사별","","183",
"종로구","75~79세","남자-이혼","","40",
"종로구","75~79세","여자(15세이상)-계","","2060",
"종로구","75~79세","여자-미혼","","36",
"종로구","75~79세","여자-배우자있음","","645",
"종로구","75~79세","여자-사별","","1330",
"종로구","75~79세","여자-이혼","","49",
"종로구","80~84세","내국인(15세이상)-계","","1994",
"종로구","80~84세","내국인-미혼","","27",
"종로구","80~84세","내국인-배우자있음","","748",
"종로구","80~84세","내국인-사별","","1179",
"종로구","80~84세","내국인-이혼","","40",
"종로구","80~84세","남자(15세이상)-계","","684",
"종로구","80~84세","남자-미혼","","6",
"종로구","80~84세","남자-배우자있음","","523",
"종로구","80~84세","남자-사별","","147",
"종로구","80~84세","남자-이혼","","8",
"종로구","80~84세","여자(15세이상)-계","","1310",
"종로구","80~84세","여자-미혼","","21",
"종로구","80~84세","여자-배우자있음","","225",
"종로구","80~84세","여자-사별","","1032",
"종로구","80~84세","여자-이혼","","32",
"종로구","85세 이상","내국인(15세이상)-계","","1372",
"종로구","85세 이상","내국인-미혼","","10",
"종로구","85세 이상","내국인-배우자있음","","357",
"종로구","85세 이상","내국인-사별","","986",
"종로구","85세 이상","내국인-이혼","","19",
"종로구","85세 이상","남자(15세이상)-계","","445",
"종로구","85세 이상","남자-미혼","","2",
"종로구","85세 이상","남자-배우자있음","","294",
"종로구","85세 이상","남자-사별","","142",
"종로구","85세 이상","남자-이혼","","7",
"종로구","85세 이상","여자(15세이상)-계","","927",
"종로구","85세 이상","여자-미혼","","8",
"종로구","85세 이상","여자-배우자있음","","63",
"종로구","85세 이상","여자-사별","","844",
"종로구","85세 이상","여자-이혼","","12",
"중구","합계","내국인(15세이상)-계","","103487",
"중구","합계","내국인-미혼","","37812",
"중구","합계","내국인-배우자있음","","52168",
"중구","합계","내국인-사별","","8349",
"중구","합계","내국인-이혼","","5158",
"중구","합계","남자(15세이상)-계","","51151",
"중구","합계","남자-미혼","","20981",
"중구","합계","남자-배우자있음","","26117",
"중구","합계","남자-사별","","1560",
"중구","합계","남자-이혼","","2493",
"중구","합계","여자(15세이상)-계","","52336",
"중구","합계","여자-미혼","","16831",
"중구","합계","여자-배우자있음","","26051",
"중구","합계","여자-사별","","6789",
"중구","합계","여자-이혼","","2665",
"중구","15~19세","내국인(15세이상)-계","","6733",
"중구","15~19세","내국인-미혼","","6714",
"중구","15~19세","내국인-배우자있음","","18",
"중구","15~19세","내국인-사별","","0",
"중구","15~19세","내국인-이혼","","1",
"중구","15~19세","남자(15세이상)-계","","3512",
"중구","15~19세","남자-미혼","","3501",
"중구","15~19세","남자-배우자있음","","11",
"중구","15~19세","남자-사별","","0",
"중구","15~19세","남자-이혼","","0",
"중구","15~19세","여자(15세이상)-계","","3221",
"중구","15~19세","여자-미혼","","3213",
"중구","15~19세","여자-배우자있음","","7",
"중구","15~19세","여자-사별","","0",
"중구","15~19세","여자-이혼","","1",
"중구","20~24세","내국인(15세이상)-계","","8566",
"중구","20~24세","내국인-미혼","","8456",
"중구","20~24세","내국인-배우자있음","","103",
"중구","20~24세","내국인-사별","","1",
"중구","20~24세","내국인-이혼","","6",
"중구","20~24세","남자(15세이상)-계","","4380",
"중구","20~24세","남자-미혼","","4354",
"중구","20~24세","남자-배우자있음","","26",
"중구","20~24세","남자-사별","","0",
"중구","20~24세","남자-이혼","","0",
"중구","20~24세","여자(15세이상)-계","","4186",
"중구","20~24세","여자-미혼","","4102",
"중구","20~24세","여자-배우자있음","","77",
"중구","20~24세","여자-사별","","1",
"중구","20~24세","여자-이혼","","6",
"중구","25~29세","내국인(15세이상)-계","","11021",
"중구","25~29세","내국인-미혼","","9479",
"중구","25~29세","내국인-배우자있음","","1518",
"중구","25~29세","내국인-사별","","1",
"중구","25~29세","내국인-이혼","","23",
"중구","25~29세","남자(15세이상)-계","","5507",
"중구","25~29세","남자-미혼","","5044",
"중구","25~29세","남자-배우자있음","","458",
"중구","25~29세","남자-사별","","0",
"중구","25~29세","남자-이혼","","5",
"중구","25~29세","여자(15세이상)-계","","5514",
"중구","25~29세","여자-미혼","","4435",
"중구","25~29세","여자-배우자있음","","1060",
"중구","25~29세","여자-사별","","1",
"중구","25~29세","여자-이혼","","18",
"중구","30~34세","내국인(15세이상)-계","","10409",
"중구","30~34세","내국인-미혼","","5444",
"중구","30~34세","내국인-배우자있음","","4828",
"중구","30~34세","내국인-사별","","13",
"중구","30~34세","내국인-이혼","","124",
"중구","30~34세","남자(15세이상)-계","","5348",
"중구","30~34세","남자-미혼","","3267",
"중구","30~34세","남자-배우자있음","","2025",
"중구","30~34세","남자-사별","","6",
"중구","30~34세","남자-이혼","","50",
"중구","30~34세","여자(15세이상)-계","","5061",
"중구","30~34세","여자-미혼","","2177",
"중구","30~34세","여자-배우자있음","","2803",
"중구","30~34세","여자-사별","","7",
"중구","30~34세","여자-이혼","","74",
"중구","35~39세","내국인(15세이상)-계","","10194",
"중구","35~39세","내국인-미혼","","3269",
"중구","35~39세","내국인-배우자있음","","6484",
"중구","35~39세","내국인-사별","","45",
"중구","35~39세","내국인-이혼","","396",
"중구","35~39세","남자(15세이상)-계","","5316",
"중구","35~39세","남자-미혼","","2055",
"중구","35~39세","남자-배우자있음","","3087",
"중구","35~39세","남자-사별","","16",
"중구","35~39세","남자-이혼","","158",
"중구","35~39세","여자(15세이상)-계","","4878",
"중구","35~39세","여자-미혼","","1214",
"중구","35~39세","여자-배우자있음","","3397",
"중구","35~39세","여자-사별","","29",
"중구","35~39세","여자-이혼","","238",
"중구","40~44세","내국인(15세이상)-계","","9444",
"중구","40~44세","내국인-미혼","","1884",
"중구","40~44세","내국인-배우자있음","","6639",
"중구","40~44세","내국인-사별","","118",
"중구","40~44세","내국인-이혼","","803",
"중구","40~44세","남자(15세이상)-계","","4982",
"중구","40~44세","남자-미혼","","1245",
"중구","40~44세","남자-배우자있음","","3313",
"중구","40~44세","남자-사별","","34",
"중구","40~44세","남자-이혼","","390",
"중구","40~44세","여자(15세이상)-계","","4462",
"중구","40~44세","여자-미혼","","639",
"중구","40~44세","여자-배우자있음","","3326",
"중구","40~44세","여자-사별","","84",
"중구","40~44세","여자-이혼","","413",
"중구","45~49세","내국인(15세이상)-계","","9287",
"중구","45~49세","내국인-미혼","","1058",
"중구","45~49세","내국인-배우자있음","","6920",
